group,repository,files,chunks,issues,expected_labels
small,repo_001_fastapi_blog,18,40,7,18
small,repo_002_go_url_shortener,18,40,7,17
small,repo_003_express_todo_api,18,40,7,17
small,repo_004_react_dashboard,18,40,7,17
small,repo_005_flask_auth_service,18,40,7,17
small,repo_006_go_grpc_inventory,18,40,7,19
small,repo_007_django_shop,18,40,7,16
small,repo_008_vue_notes_app,18,40,7,16
small,repo_009_nestjs_payments,18,40,7,16
small,repo_010_rust_cli_tool,18,40,7,18
small,repo_011_python_etl_pipeline,16,35,7,16
small,repo_012_node_ts_graphql,18,40,7,19
small,repo_013_python_lru_cache,16,35,7,15
small,repo_014_python_task_queue,16,35,7,14
small,repo_015_python_state_machine,16,35,7,17
small,repo_016_java_spring_library,22,48,7,11
small,repo_017_dotnet_hotel_booking,22,48,7,8
small,repo_018_ruby_rails_billing,22,48,7,9
medium,repo_medium_001,100,50000,7,7
medium,repo_medium_002,100,50000,7,7
medium,repo_medium_003,100,50000,7,7
medium,repo_medium_004,100,50000,7,7
medium,repo_medium_005,100,50000,7,7
large,repo_large_001,1000,500000,7,7
large,repo_large_002,1000,500000,7,7
